iter	Passed	Remaining
0	193	193671
1	195	97455
2	196	65149
3	196	48982
4	197	39291
5	199	33021
6	200	28441
7	202	25112
8	203	22385
9	204	20238
10	205	18512
11	206	16992
12	206	15705
13	207	14604
14	208	13691
15	209	12871
16	210	12149
17	211	11521
18	211	10943
19	212	10433
20	213	9972
21	214	9555
22	216	9204
23	217	8834
24	217	8499
25	219	8209
26	220	7935
27	221	7679
28	222	7445
29	224	7270
30	225	7054
31	226	6865
32	227	6680
33	228	6500
34	229	6332
35	230	6173
36	231	6035
37	232	5890
38	233	5748
39	234	5625
40	234	5492
41	235	5366
42	235	5246
43	236	5132
44	236	5023
45	237	4926
46	238	4834
47	239	4741
48	239	4650
49	240	4562
50	240	4477
51	241	4397
52	241	4319
53	242	4242
54	242	4170
55	244	4120
56	246	4080
57	247	4018
58	248	3964
59	249	3912
60	250	3858
61	252	3823
62	254	3789
63	255	3734
64	255	3680
65	256	3627
66	256	3575
67	257	3525
68	258	3481
69	260	3461
70	261	3424
71	263	3393
72	263	3350
73	264	3308
74	264	3267
75	265	3226
76	265	3187
77	267	3167
78	270	3157
79	271	3122
80	272	3088
81	274	3068
82	275	3048
83	277	3023
84	279	3007
85	281	2987
86	282	2968
87	283	2942
88	285	2921
89	286	2898
90	287	2874
91	288	2850
92	289	2825
93	290	2800
94	291	2773
95	292	2753
96	293	2731
97	294	2709
98	295	2685
99	295	2663
100	296	2640
101	297	2617
102	297	2593
103	298	2572
104	299	2554
105	300	2534
106	301	2513
107	301	2492
108	302	2470
109	302	2449
110	303	2428
111	303	2407
112	304	2387
113	304	2367
114	306	2357
115	307	2346
116	308	2327
117	308	2308
118	309	2290
119	309	2272
120	310	2254
121	310	2235
122	311	2219
123	312	2211
124	313	2197
125	314	2181
126	314	2164
127	315	2148
128	315	2132
129	316	2117
130	317	2103
131	319	2098
132	319	2085
133	320	2072
134	321	2058
135	322	2046
136	323	2035
137	324	2024
138	324	2012
139	326	2006
140	327	1996
141	328	1985
142	329	1975
143	330	1963
144	330	1951
145	331	1941
146	333	1935
147	334	1924
148	334	1912
149	335	1900
150	335	1888
151	336	1876
152	336	1864
153	337	1852
154	337	1841
155	338	1830
156	340	1825
157	340	1816
158	341	1805
159	342	1796
160	342	1785
161	343	1774
162	343	1764
163	345	1758
164	345	1748
165	346	1741
166	347	1734
167	348	1727
168	349	1719
169	350	1713
170	351	1706
171	353	1700
172	355	1698
173	355	1689
174	356	1679
175	356	1670
176	357	1661
177	357	1652
178	358	1644
179	359	1639
180	361	1634
181	361	1626
182	362	1619
183	363	1611
184	364	1604
185	364	1596
186	365	1588
187	366	1580
188	368	1581
189	369	1576
190	370	1569
191	371	1561
192	372	1555
193	372	1548
194	374	1546
195	376	1543
196	378	1541
197	379	1538
198	381	1535
199	382	1531
200	384	1527
201	386	1525
202	387	1521
203	388	1515
204	389	1509
205	390	1505
206	391	1501
207	393	1497
208	395	1495
209	395	1488
210	396	1481
211	396	1474
212	397	1468
213	398	1462
214	398	1455
215	399	1449
216	400	1443
217	400	1437
218	401	1431
219	401	1424
220	402	1420
221	403	1415
222	404	1410
223	405	1405
224	407	1402
225	408	1399
226	409	1394
227	410	1388
228	411	1386
229	413	1382
230	413	1377
231	415	1374
232	416	1369
233	416	1364
234	417	1358
235	418	1353
236	418	1347
237	419	1342
238	419	1336
239	420	1332
240	421	1328
241	422	1324
242	423	1319
243	424	1315
244	425	1311
245	426	1307
246	427	1303
247	428	1299
248	430	1297
249	430	1292
250	431	1287
251	432	1283
252	433	1279
253	434	1275
254	434	1269
255	435	1264
256	436	1262
257	438	1260
258	439	1256
259	439	1251
260	440	1246
261	440	1241
262	441	1236
263	441	1231
264	443	1229
265	445	1228
266	447	1228
267	448	1224
268	450	1225
269	453	1225
270	454	1222
271	455	1218
272	456	1215
273	457	1211
274	457	1207
275	459	1205
276	460	1202
277	461	1198
278	462	1194
279	462	1189
280	463	1185
281	464	1181
282	465	1178
283	466	1175
284	468	1174
285	468	1169
286	469	1165
287	469	1161
288	471	1160
289	472	1156
290	472	1151
291	474	1150
292	475	1147
293	476	1144
294	477	1140
295	478	1138
296	479	1135
297	480	1132
298	482	1130
299	483	1127
300	484	1124
301	485	1122
302	487	1120
303	488	1118
304	490	1116
305	490	1113
306	491	1109
307	492	1106
308	493	1103
309	494	1099
310	495	1096
311	496	1094
312	497	1091
313	499	1090
314	499	1087
315	500	1083
316	501	1081
317	502	1078
318	503	1074
319	503	1070
320	504	1066
321	506	1065
322	507	1063
323	508	1060
324	509	1057
325	510	1054
326	511	1051
327	512	1049
328	514	1048
329	514	1045
330	515	1042
331	516	1039
332	517	1036
333	518	1033
334	519	1031
335	521	1031
336	523	1029
337	524	1026
338	525	1023
339	526	1021
340	526	1018
341	528	1016
342	529	1013
343	530	1011
344	531	1008
345	532	1005
346	534	1005
347	535	1002
348	537	1003
349	538	1000
350	539	998
351	540	995
352	541	992
353	543	991
354	545	990
355	547	990
356	550	991
357	552	990
358	552	987
359	554	985
360	555	983
361	558	983
362	560	983
363	563	983
364	565	983
365	566	982
366	568	979
367	570	979
368	571	977
369	573	976
370	575	975
371	576	972
372	578	972
373	580	971
374	581	969
375	582	965
376	582	962
377	583	959
378	584	957
379	585	955
380	587	953
381	588	952
382	590	951
383	592	949
384	593	948
385	595	947
386	596	944
387	597	942
388	599	941
389	601	940
390	602	938
391	604	937
392	606	936
393	607	934
394	608	932
395	610	930
396	612	930
397	614	928
398	615	926
399	616	924
400	617	921
401	618	919
402	619	918
403	620	915
404	621	913
405	623	912
406	624	909
407	625	907
408	626	904
409	627	902
410	628	900
411	629	897
412	629	894
413	630	891
414	630	889
415	631	886
416	632	884
417	633	881
418	633	878
419	634	876
420	635	873
421	636	871
422	637	869
423	638	866
424	639	865
425	640	863
426	641	860
427	642	858
428	643	855
429	643	853
430	645	851
431	646	849
432	647	847
433	648	845
434	649	844
435	650	841
436	651	839
437	652	837
438	653	834
439	654	832
440	654	830
441	655	827
442	656	825
443	657	823
444	658	820
445	658	818
446	659	815
447	660	813
448	660	811
449	661	808
450	662	806
451	663	804
452	663	801
453	664	799
454	665	797
455	666	795
456	667	793
457	668	790
458	669	788
459	669	786
460	670	784
461	671	782
462	672	780
463	674	778
464	674	776
465	675	774
466	676	772
467	677	769
468	677	767
469	678	765
470	679	763
471	680	761
472	681	759
473	682	757
474	683	755
475	689	758
476	699	767
477	710	775
478	718	781
479	720	780
480	721	778
481	723	777
482	724	775
483	725	773
484	726	771
485	727	769
486	727	766
487	728	764
488	729	762
489	736	766
490	745	772
491	753	777
492	763	785
493	764	782
494	765	780
495	766	778
496	767	776
497	768	774
498	769	772
499	770	770
500	771	768
501	772	765
502	773	763
503	774	761
504	774	759
505	775	757
506	776	754
507	777	752
508	777	750
509	779	748
510	780	746
511	781	744
512	781	742
513	783	740
514	784	738
515	785	736
516	785	734
517	786	731
518	787	729
519	787	727
520	788	725
521	789	722
522	790	720
523	791	718
524	792	716
525	792	714
526	793	712
527	794	709
528	795	707
529	795	705
530	796	703
531	797	701
532	797	699
533	798	697
534	799	694
535	799	692
536	800	690
537	801	688
538	802	686
539	802	683
540	803	681
541	803	679
542	804	677
543	805	675
544	805	672
545	806	670
546	807	668
547	808	666
548	808	664
549	809	662
550	810	660
551	811	658
552	811	656
553	812	653
554	813	652
555	813	650
556	814	647
557	815	646
558	816	644
559	817	642
560	818	640
561	819	638
562	820	636
563	821	635
564	822	633
565	823	631
566	823	629
567	824	627
568	825	625
569	826	623
570	826	621
571	827	619
572	828	617
573	828	615
574	829	613
575	830	611
576	830	609
577	831	607
578	832	605
579	832	603
580	833	601
581	834	599
582	834	597
583	835	595
584	836	593
585	836	591
586	837	589
587	838	587
588	838	585
589	839	583
590	840	581
591	841	579
592	842	577
593	842	575
594	843	573
595	843	571
596	844	570
597	845	568
598	845	566
599	847	564
600	847	562
601	848	561
602	849	559
603	850	557
604	851	555
605	851	553
606	852	552
607	853	550
608	854	548
609	854	546
610	855	544
611	856	542
612	856	540
613	857	539
614	858	537
615	859	535
616	859	533
617	860	531
618	860	529
619	861	527
620	862	526
621	862	524
622	863	522
623	864	520
624	865	519
625	865	517
626	866	515
627	867	513
628	867	511
629	868	510
630	869	508
631	870	506
632	871	505
633	872	503
634	872	501
635	873	499
636	874	498
637	874	496
638	875	494
639	875	492
640	876	491
641	877	489
642	878	487
643	879	486
644	880	484
645	881	482
646	882	481
647	882	479
648	883	477
649	884	476
650	885	474
651	886	473
652	886	471
653	887	469
654	888	467
655	888	466
656	889	464
657	890	462
658	891	461
659	892	459
660	893	458
661	895	456
662	895	455
663	896	453
664	897	452
665	898	450
666	899	448
667	900	447
668	901	446
669	903	444
670	903	443
671	904	441
672	905	440
673	906	438
674	907	436
675	908	435
676	909	434
677	910	432
678	911	430
679	912	429
680	912	427
681	913	425
682	914	424
683	915	422
684	916	421
685	916	419
686	917	417
687	917	416
688	918	414
689	919	413
690	920	411
691	921	410
692	922	408
693	923	407
694	924	405
695	925	404
696	926	402
697	926	401
698	927	399
699	928	398
700	929	396
701	930	394
702	931	393
703	932	391
704	932	390
705	933	388
706	934	387
707	935	385
708	935	384
709	936	382
710	937	381
711	938	379
712	939	378
713	940	376
714	941	375
715	942	373
716	943	372
717	944	370
718	945	369
719	946	367
720	947	366
721	947	364
722	948	363
723	948	361
724	949	360
725	950	358
726	951	357
727	952	355
728	953	354
729	954	352
730	954	351
731	955	349
732	955	348
733	956	346
734	957	345
735	958	343
736	958	342
737	959	340
738	960	339
739	960	337
740	961	336
741	962	334
742	963	333
743	964	332
744	965	330
745	965	328
746	966	327
747	967	325
748	968	324
749	969	323
750	970	321
751	971	320
752	972	318
753	972	317
754	973	315
755	974	314
756	975	313
757	975	311
758	976	310
759	977	308
760	979	307
761	979	306
762	980	304
763	981	303
764	981	301
765	982	300
766	983	298
767	984	297
768	985	296
769	986	294
770	988	293
771	989	292
772	990	290
773	990	289
774	991	287
775	992	286
776	994	285
777	995	283
778	995	282
779	996	281
780	997	279
781	997	278
782	998	276
783	999	275
784	1000	274
785	1001	272
786	1002	271
787	1002	269
788	1003	268
789	1003	266
790	1004	265
791	1005	264
792	1006	262
793	1007	261
794	1008	260
795	1009	258
796	1010	257
797	1011	256
798	1012	254
799	1013	253
800	1014	252
801	1015	250
802	1016	249
803	1017	247
804	1017	246
805	1018	245
806	1019	243
807	1020	242
808	1021	241
809	1022	239
810	1023	238
811	1024	237
812	1026	236
813	1027	234
814	1028	233
815	1029	232
816	1030	230
817	1032	229
818	1033	228
819	1034	226
820	1035	225
821	1036	224
822	1037	223
823	1038	221
824	1039	220
825	1040	219
826	1041	217
827	1041	216
828	1042	215
829	1043	213
830	1044	212
831	1045	211
832	1046	209
833	1046	208
834	1047	207
835	1048	205
836	1049	204
837	1049	202
838	1051	201
839	1052	200
840	1052	199
841	1053	197
842	1054	196
843	1055	195
844	1055	193
845	1056	192
846	1057	190
847	1057	189
848	1058	188
849	1059	186
850	1060	185
851	1061	184
852	1061	182
853	1062	181
854	1063	180
855	1064	179
856	1065	177
857	1065	176
858	1066	175
859	1067	173
860	1067	172
861	1068	171
862	1069	169
863	1070	168
864	1071	167
865	1072	165
866	1073	164
867	1074	163
868	1074	162
869	1075	160
870	1076	159
871	1077	158
872	1078	156
873	1079	155
874	1080	154
875	1081	153
876	1082	151
877	1082	150
878	1083	149
879	1083	147
880	1084	146
881	1085	145
882	1086	143
883	1087	142
884	1087	141
885	1088	140
886	1089	138
